Wall time,Step,Value
1676961629.518453,100,-0.2709999978542328
1676962152.096705,300,-0.6579999923706055
1676962411.38564,400,-0.46000000834465027
1676962662.663494,500,-0.7389999628067017
1676963933.640042,1000,-0.9639999866485596
1676964192.993422,1100,-0.5320000052452087
1676964314.324877,1113,-0.013000000268220901
1676964859.837383,1324,-0.20800000429153442
1676965130.172012,1424,-0.19900000095367432
1676965369.500104,1524,-0.9639999866485596
1676965890.592243,1724,-0.7389999628067017
1676966139.683348,1824,-0.7210000157356262
1676966406.619939,1920,-0.15000000596046448
1676967570.334293,2200,-0.23499999940395355
1676967689.038202,2210,-0.010000000707805157
1676968194.970736,2420,-0.010000000707805157
1676968437.155139,2520,-0.9279999732971191
1676968700.333146,2620,-0.41499999165534973
1676968970.620804,2720,-0.19900000095367432
1676969237.996027,2820,-0.289000004529953
1676969645.734444,2979,-0.07699999958276749
1676969909.301828,3079,-0.33399999141693115
1676970158.786782,3179,-0.6759999990463257
1676970676.197963,3362,-0.20800000429153442
1676970941.32798,3462,-0.2800000011920929
1676971197.275402,3562,-0.5049999952316284
1676971468.897039,3662,-0.19900000095367432
1676971718.700277,3762,-0.7210000157356262
1676973092.297762,4100,-0.8379999995231628
1676974111.183625,4472,-0.09000000357627869
1676974378.061546,4572,-0.35199999809265137
1676974622.742857,4672,-0.8199999928474426
1676974632.773499,4692,-0.020000001415610313
1676974887.269547,4792,-0.5949999690055847
1676975160.117685,4892,-0.19900000095367432
1676975416.273309,4970,-0.1679999977350235
1676975670.941614,5070,-0.5859999656677246
1676975806.899511,5122,-0.07000000029802322
1676976069.138039,5248,-0.7389999628067017
1676976822.120823,5548,-0.8199999928474426
1676977080.690186,5648,-0.5859999656677246
1676977203.06333,5663,-0.015000000596046448
1676977463.215292,5763,-0.46000000834465027
1676977965.151164,5963,-0.6850000023841858
1676978839.059759,6100,-0.24400000274181366
1676979086.274126,6200,-0.7479999661445618
1676979329.880698,6300,-0.8740000128746033
1676979844.269526,6500,-0.5410000085830688
1676980117.243437,6600,-0.20800000429153442
1676980658.004526,6800,-0.21700000762939453
1676981188.464028,7000,-0.2709999978542328
1676981725.520714,7200,-0.19900000095367432
1676981997.201487,7300,-0.19900000095367432
1676982258.00108,7400,-0.4959999918937683
1676982514.693647,7500,-0.5410000085830688
1676983052.409576,7700,-0.20800000429153442
1676983314.528893,7800,-0.3970000147819519
1676983810.99182,8000,-0.8740000128746033
1676984571.726384,8100,-0.3700000047683716
1676984843.282712,8200,-0.19900000095367432
1676985348.46756,8400,-0.7210000157356262
1676985613.001932,8500,-0.42399999499320984
1676986139.233753,8700,-0.45100000500679016
1676986780.567183,8926,-0.026000000536441803
1676987048.771641,9026,-0.24400000274181366
1676987847.420086,9320,-0.13899999856948853
1676988100.043514,9420,-0.6669999957084656
1676988889.402523,9720,-0.6759999990463257
1676989134.983422,9820,-0.8740000128746033
1676990308.163033,10013,-0.013000000268220901
1676990578.310802,10113,-0.19900000095367432
1676990849.178596,10213,-0.19900000095367432
1676991120.13417,10313,-0.19900000095367432
1676991382.51011,10413,-0.4779999852180481
